
1,10,23,29,33,37,40,16
7,2,9,16,25,26,40,42
722,12,14,21,30,39,43,45
721,1,28,35,41,43,44,31
720,1,12,29,34,36,37,41
719,4,8,13,19,20,43,26
718,4,11,20,23,32,39,40
717,2,11,19,25,28,32,44
716,2,6,13,16,29,30,21
715,2,7,27,33,41,44,10
714,1,7,22,33,37,40,20
713,2,5,15,18,19,23,44
785,4,6,15,25,26,33,40
784,3,10,23,24,31,39,22
783,14,15,16,17,38,45,36
782,6,18,31,34,38,45,20
781,11,16,18,19,24,39,43
780,15,17,19,21,27,45,16
779,6,12,19,24,34,41,4
778,6,21,35,36,37,41,11
777,6,12,17,21,34,37,18
776,8,9,18,21,28,40,20
775,11,12,29,33,38,42,17
774,12,15,18,28,34,42,9
773,8,12,19,21,31,35,44
772,5,6,11,14,21,41,32
771,6,10,17,18,21,29,30
770,1,9,12,23,39,43,34
769,5,7,11,16,41,45,4
768,7,27,29,30,38,44,4
767,5,15,20,31,34,42,22
766,9,30,34,35,39,41,21
765,1,3,8,12,42,43,33
764,7,22,24,31,34,36,15
763,3,8,16,32,34,43,10
762,1,3,12,21,26,41,16
761,4,7,11,24,42,45,30
760,10,22,27,31,42,43,12
759,9,33,36,40,42,43,32
758,5,9,12,30,39,43,24
757,6,7,11,17,33,44,1
756,10,14,16,18,27,28,4
755,13,14,26,28,30,36,37
754,2,8,17,24,29,31,32
753,2,17,19,24,37,41,3
752,4,16,20,33,40,43,7
751,3,4,16,20,28,44,17
750,1,2,15,19,24,36,12
749,12,14,24,26,34,45,41
748,3,10,13,22,31,32,29
747,7,9,12,14,23,28,17
746,3,12,33,36,42,45,25
745,1,2,3,9,12,23,10
744,10,15,18,21,34,41,43
743,15,19,21,34,41,44,10
742,8,10,13,36,37,40,6
741,5,21,27,34,44,45,16
740,4,8,9,16,17,19,31
739,7,22,29,33,34,35,30
738,23,27,28,38,42,43,36
737,13,15,18,24,27,41,11
736,2,11,17,18,21,27,6
735,5,10,13,27,37,41,4
734,6,16,37,38,41,45,18
733,11,24,32,33,35,40,13
732,2,4,5,17,27,32,43
731,2,7,13,25,42,45,39
730,4,10,14,15,18,22,39
729,11,17,21,26,36,45,16
728,3,6,10,30,34,37,36
727,7,8,10,19,21,31,20
726,1,11,21,23,34,44,24
725,6,7,19,21,41,43,38
